pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
7z1c	B	NA	0	A	protein	NA	spike protein s1	ANTIVIRAL PROTEIN	02/24/22	Nanobody H11-B5 and H11-F2 bound to RBD	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; LAMA GLAMA	lama glama		severe acute respiratory syndrome coronavirus2 	Mikolajek, H., Naismith, J.H.	1.9	X-RAY DIFFRACTION	0.199	0.175	False	True	IGHV1	NA	NA	None	None	None	None	None
1f2x	L	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/30/00	STRUCTURE OF THE SINGLE-DOMAIN CAMELID ANTIBODY CAB-CA05	CAMELUS DROMEDARIUS	camelus dromedarius			Decanniere, K., Muyldermans, S., Wyns, L.	2.1	X-RAY DIFFRACTION	0.270	0.190	False	True	IGHV1	NA	NA	None	None	None	None	None
1f2x	K	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/30/00	STRUCTURE OF THE SINGLE-DOMAIN CAMELID ANTIBODY CAB-CA05	CAMELUS DROMEDARIUS	camelus dromedarius			Decanniere, K., Muyldermans, S., Wyns, L.	2.1	X-RAY DIFFRACTION	0.270	0.190	False	True	IGHV1	NA	NA	None	None	None	None	None
6t2j	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/08/19	dAb3	SYNTHETIC CONSTRUCT	synthetic construct			Tsai, Y.-C.I., House, D., Rittinger, K.	1.7	X-RAY DIFFRACTION	0.208	0.175	False	True	IGHV3	NA	NA	None	None	None	None	None
6t2j	B	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/08/19	dAb3	SYNTHETIC CONSTRUCT	synthetic construct			Tsai, Y.-C.I., House, D., Rittinger, K.	1.7	X-RAY DIFFRACTION	0.208	0.175	False	True	IGHV3	NA	NA	None	None	None	None	None
7nmu	C	NA	0	A	protein	NA	unknown	BLOOD CLOTTING	02/23/21	Crystal structure of human platelet glycoprotein VI in complex with an inhibitory nanobody.	HOMO SAPIENS; LAMA GLAMA				Slater, A., Jonas, E., Watson, S.P.	2.5	X-RAY DIFFRACTION	0.235	0.174	False	False	IGHV1	NA	NA	None	None	None	None	None
7nmu	D	NA	0	B	protein	NA	unknown	BLOOD CLOTTING	02/23/21	Crystal structure of human platelet glycoprotein VI in complex with an inhibitory nanobody.	HOMO SAPIENS; LAMA GLAMA				Slater, A., Jonas, E., Watson, S.P.	2.5	X-RAY DIFFRACTION	0.235	0.174	False	False	IGHV1	NA	NA	None	None	None	None	None
6z6v	H	NA	0	E | F	protein | protein	NA | NA	complement c1q subcomponent subunit b | complement c1q subcomponent subunit c	IMMUNE SYSTEM	05/29/20	Globular head of C1q in complex with the nanobody C1qNb75	HOMO SAPIENS; LAMA GLAMA	lama glama		homo sapiens | homo sapiens	Laursen, N.S., Andersen, G.R.	2.19	X-RAY DIFFRACTION	0.227	0.178	False	True	IGHV1	NA	NA	None	None	None	None	None
6z6v	G	NA	0	B | C	protein | protein	NA | NA	complement c1q subcomponent subunit b | complement c1q subcomponent subunit c	IMMUNE SYSTEM	05/29/20	Globular head of C1q in complex with the nanobody C1qNb75	HOMO SAPIENS; LAMA GLAMA	lama glama		homo sapiens | homo sapiens	Laursen, N.S., Andersen, G.R.	2.19	X-RAY DIFFRACTION	0.227	0.178	False	True	IGHV1	NA	NA	None	None	None	None	None
6i8g	B	NA	0	A	protein	NA	protein eds1l	IMMUNE SYSTEM	11/20/18	Structure of the plant immune signaling node EDS1 (enhanced disease susceptibility 1) in complex with nanobody ENB73	ARABIDOPSIS THALIANA; LAMA GLAMA	lama glama		arabidopsis thaliana	Niefind, K., Voss, M., Toelzer, C.	2.344	X-RAY DIFFRACTION	0.222	0.194	False	True	IGHV1	NA	NA	None	None	None	None	None
1hcv	A	NA	0	NA	NA	NA	NA	IMMUNOGLOBULIN	07/13/96	LLAMA HEAVY CHAIN VARIABLE DOMAIN AGAINST ALPHA SUBUNIT OF HCG (HUMAN CHORIONIC GONADOTROPIN)	LAMA GLAMA	lama glama			Spinelli, S., Cambillau, C., Tegoni, M.	1.85	X-RAY DIFFRACTION	0.218	0.171	False	True	unknown	unknown	unknown	None	None	None	None	None
5mwn	N	NA	0	A	protein	NA	type vi secretion protein	TRANSPORT PROTEIN	01/18/17	Structure of the EAEC T6SS component TssK N-terminal domain in complex with llama nanobodies nbK18 and nbK27	LAMA GLAMA; ESCHERICHIA COLI			escherichia coli	Cambillau, C., Nguyen, V.S., Spinelli, S., Legrand, P.	2.2	X-RAY DIFFRACTION	0.220	0.199	False	True	IGHV1	NA	NA	None	None	None	None	None
5mwn	D	NA	0	B	protein	NA	type vi secretion protein	TRANSPORT PROTEIN	01/18/17	Structure of the EAEC T6SS component TssK N-terminal domain in complex with llama nanobodies nbK18 and nbK27	LAMA GLAMA; ESCHERICHIA COLI	lama glama		escherichia coli	Cambillau, C., Nguyen, V.S., Spinelli, S., Legrand, P.	2.2	X-RAY DIFFRACTION	0.220	0.199	False	True	IGHV1	NA	NA	None	None	None	None	None
5mwn	F	NA	0	C	protein	NA	type vi secretion protein	TRANSPORT PROTEIN	01/18/17	Structure of the EAEC T6SS component TssK N-terminal domain in complex with llama nanobodies nbK18 and nbK27	LAMA GLAMA; ESCHERICHIA COLI	lama glama		escherichia coli	Cambillau, C., Nguyen, V.S., Spinelli, S., Legrand, P.	2.2	X-RAY DIFFRACTION	0.220	0.199	False	True	IGHV1	NA	NA	None	None	None	None	None
5mwn	E	NA	0	A	protein	NA	type vi secretion protein	TRANSPORT PROTEIN	01/18/17	Structure of the EAEC T6SS component TssK N-terminal domain in complex with llama nanobodies nbK18 and nbK27	LAMA GLAMA; ESCHERICHIA COLI	lama glama		escherichia coli	Cambillau, C., Nguyen, V.S., Spinelli, S., Legrand, P.	2.2	X-RAY DIFFRACTION	0.220	0.199	False	True	IGHV1	NA	NA	None	None	None	None	None
6sc6	B	NA	0	A	protein	NA	e3 ubiquitin-protein ligase rnf31	LIGASE	07/23/19	dAb3/HOIP-RBR apo structure	HOMO SAPIENS; SYNTHETIC CONSTRUCT	synthetic construct		homo sapiens	Tsai, Y.-C.I., House, D., Rittinger, K.	2.25	X-RAY DIFFRACTION	0.246	0.199	False	True	IGHV3	NA	NA	None	None	None	None	None
6sc6	C	NA	0	A	protein	NA	e3 ubiquitin-protein ligase rnf31	LIGASE	07/23/19	dAb3/HOIP-RBR apo structure	HOMO SAPIENS; SYNTHETIC CONSTRUCT	synthetic construct		homo sapiens	Tsai, Y.-C.I., House, D., Rittinger, K.	2.25	X-RAY DIFFRACTION	0.246	0.199	False	True	IGHV3	NA	NA	None	None	None	None	None
2p44	B	NA	0	A	protein	NA	ribonuclease pancreatic	HYDROLASE/IMMUNE SYSTEM	03/11/07	Complex of a camelid single-domain vhh antibody fragment with RNASE A at 1.8A resolution: SE5A-mono-1 crystal form with five se-met sites (M34, M51, F68M, M83, L86M) in vhh scaffold	CAMELUS DROMEDARIUS; BOS TAURUS	camelus dromedarius		bos taurus	Tereshko, V., Uysal, S., Koide, A., Margalef, K., Koide, S., Kossiakoff, A.A.	1.8	X-RAY DIFFRACTION	0.238	0.193	False	True	IGHV1	NA	NA	2.00E-08	-10.67	Other	30	18445622
5tp3	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/19/16	Crystal structure of the RSV-neutralizing single-domain antibody F-VHH-4	LAMA GLAMA	lama glama			Wrapp, D., Gilman, M.S.A., McLellan, J.S.	1.874	X-RAY DIFFRACTION	0.208	0.170	False	True	IGHV1	NA	NA	None	None	None	None	None
5tp3	B	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/19/16	Crystal structure of the RSV-neutralizing single-domain antibody F-VHH-4	LAMA GLAMA	lama glama			Wrapp, D., Gilman, M.S.A., McLellan, J.S.	1.874	X-RAY DIFFRACTION	0.208	0.170	False	True	IGHV1	NA	NA	None	None	None	None	None
7te8	D	NA	0	D	Hapten	P0T	cannabidiol	BIOSYNTHETIC PROTEIN	01/04/22	CA14-CBD-DB21 ternary complex	ARTIFICIAL SEQUENCES	artificial sequences		artificial sequences	Cao, S., Zheng, N.	1.998	X-RAY DIFFRACTION	0.211	0.180	False	True	IGHV1	NA	NA	None	None	None	None	None
7te8	C	NA	0	C	Hapten	P0T	cannabidiol	BIOSYNTHETIC PROTEIN	01/04/22	CA14-CBD-DB21 ternary complex	ARTIFICIAL SEQUENCES	artificial sequences		artificial sequences	Cao, S., Zheng, N.	1.998	X-RAY DIFFRACTION	0.211	0.180	False	True	IGHV1	NA	NA	None	None	None	None	None
7te8	B	NA	0	D	Hapten	P0T	cannabidiol	BIOSYNTHETIC PROTEIN	01/04/22	CA14-CBD-DB21 ternary complex	ARTIFICIAL SEQUENCES	artificial sequences		artificial sequences	Cao, S., Zheng, N.	1.998	X-RAY DIFFRACTION	0.211	0.180	False	True	IGHV3	NA	NA	None	None	None	None	None
7te8	A	NA	0	C	Hapten	P0T	cannabidiol	BIOSYNTHETIC PROTEIN	01/04/22	CA14-CBD-DB21 ternary complex	ARTIFICIAL SEQUENCES	artificial sequences		artificial sequences	Cao, S., Zheng, N.	1.998	X-RAY DIFFRACTION	0.211	0.180	False	True	IGHV3	NA	NA	None	None	None	None	None
5imm	B	NA	0	A	protein	NA	protein vsig4	IMMUNE SYSTEM	03/06/16	Nanobody targeting mouse Vsig4 in Spacegroup P212121	MUS MUSCULUS; CAMELIDAE	camelidae		mus musculus	Wen, Y., Zheng, F.	1.2	X-RAY DIFFRACTION	0.176	0.156	False	True	IGHV1	NA	NA	None	None	None	None	None
6qkd	I	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/29/19	CRYSTAL STRUCTURE OF vhh-based FAB-fragment of antibody BCD-085	LAMA GLAMA	lama glama			Kostareva, O.S., Kolyadenko, I.A., Ulitin, A.B., Ekimova, V.M., Evdokimov, S.R., Garber, M.B., Tishchenko, T.V., Gabdulkhakov, A.G.	1.9	X-RAY DIFFRACTION	0.228	0.169	False	True	IGHV1	NA	NA	None	None	None	None	None
6qkd	NA	O	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/29/19	CRYSTAL STRUCTURE OF vhh-based FAB-fragment of antibody BCD-085	LAMA GLAMA		lama glama		Kostareva, O.S., Kolyadenko, I.A., Ulitin, A.B., Ekimova, V.M., Evdokimov, S.R., Garber, M.B., Tishchenko, T.V., Gabdulkhakov, A.G.	1.9	X-RAY DIFFRACTION	0.228	0.169	False	True	NA	IGKV3	Kappa	None	None	None	None	None
6qkd	J	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/29/19	CRYSTAL STRUCTURE OF vhh-based FAB-fragment of antibody BCD-085	LAMA GLAMA	lama glama			Kostareva, O.S., Kolyadenko, I.A., Ulitin, A.B., Ekimova, V.M., Evdokimov, S.R., Garber, M.B., Tishchenko, T.V., Gabdulkhakov, A.G.	1.9	X-RAY DIFFRACTION	0.228	0.169	False	True	IGHV1	NA	NA	None	None	None	None	None
6qkd	H	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/29/19	CRYSTAL STRUCTURE OF vhh-based FAB-fragment of antibody BCD-085	LAMA GLAMA	lama glama			Kostareva, O.S., Kolyadenko, I.A., Ulitin, A.B., Ekimova, V.M., Evdokimov, S.R., Garber, M.B., Tishchenko, T.V., Gabdulkhakov, A.G.	1.9	X-RAY DIFFRACTION	0.228	0.169	False	True	IGHV1	NA	NA	None	None	None	None	None
6qkd	NA	M	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/29/19	CRYSTAL STRUCTURE OF vhh-based FAB-fragment of antibody BCD-085	LAMA GLAMA		lama glama		Kostareva, O.S., Kolyadenko, I.A., Ulitin, A.B., Ekimova, V.M., Evdokimov, S.R., Garber, M.B., Tishchenko, T.V., Gabdulkhakov, A.G.	1.9	X-RAY DIFFRACTION	0.228	0.169	False	True	NA	IGKV3	Kappa	None	None	None	None	None
6qkd	NA	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/29/19	CRYSTAL STRUCTURE OF vhh-based FAB-fragment of antibody BCD-085	LAMA GLAMA		lama glama		Kostareva, O.S., Kolyadenko, I.A., Ulitin, A.B., Ekimova, V.M., Evdokimov, S.R., Garber, M.B., Tishchenko, T.V., Gabdulkhakov, A.G.	1.9	X-RAY DIFFRACTION	0.228	0.169	False	True	NA	IGKV3	Kappa	None	None	None	None	None
6qkd	K	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/29/19	CRYSTAL STRUCTURE OF vhh-based FAB-fragment of antibody BCD-085	LAMA GLAMA	lama glama			Kostareva, O.S., Kolyadenko, I.A., Ulitin, A.B., Ekimova, V.M., Evdokimov, S.R., Garber, M.B., Tishchenko, T.V., Gabdulkhakov, A.G.	1.9	X-RAY DIFFRACTION	0.228	0.169	False	True	IGHV1	NA	NA	None	None	None	None	None
6qkd	NA	T	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/29/19	CRYSTAL STRUCTURE OF vhh-based FAB-fragment of antibody BCD-085	LAMA GLAMA		lama glama		Kostareva, O.S., Kolyadenko, I.A., Ulitin, A.B., Ekimova, V.M., Evdokimov, S.R., Garber, M.B., Tishchenko, T.V., Gabdulkhakov, A.G.	1.9	X-RAY DIFFRACTION	0.228	0.169	False	True	NA	IGKV3	Kappa	None	None	None	None	None
4i0c	D	NA	0	A	protein	NA	lysozyme c	IMMUNE SYSTEM/HYDROLASE	11/16/12	The structure of the camelid antibody cAbHuL5 in complex with human lysozyme	HOMO SAPIENS; CAMELUS DROMEDARIUS	camelus dromedarius		homo sapiens	De Genst, E., Chan, P.H., Pardon, E., Kumita, J.R., Christodoulou, J., Menzer, L., Chirgadze, D.Y., Robinson, C.V., Muyldermans, S., Matagne, A., Wyns, L., Dobson, C.M., Dumoulin, M.	1.95	X-RAY DIFFRACTION	0.219	0.187	False	True	IGHV1	NA	NA	None	None	None	None	None
4i0c	C	NA	0	B	protein	NA	lysozyme c	IMMUNE SYSTEM/HYDROLASE	11/16/12	The structure of the camelid antibody cAbHuL5 in complex with human lysozyme	HOMO SAPIENS; CAMELUS DROMEDARIUS	camelus dromedarius		homo sapiens	De Genst, E., Chan, P.H., Pardon, E., Kumita, J.R., Christodoulou, J., Menzer, L., Chirgadze, D.Y., Robinson, C.V., Muyldermans, S., Matagne, A., Wyns, L., Dobson, C.M., Dumoulin, M.	1.95	X-RAY DIFFRACTION	0.219	0.187	False	True	IGHV1	NA	NA	None	None	None	None	None
4z9k	B	NA	0	A	protein	NA	ricin	Hydrolase/Immune system	04/10/15	Ricin A chain bound to camelid nanobody (VHH2)(F5)	RICINUS COMMUNIS; VICUGNA PACOS	vicugna pacos		ricinus communis	Rudolph, M.J.	1.5	X-RAY DIFFRACTION	0.195	0.178	False	True	IGHV1	NA	NA	None	None	None	None	None
4kml	B	NA	0	A	protein	NA	major prion protein	MEMBRANE PROTEIN/PROTEIN BINDING	05/08/13	Probing the N-terminal beta-sheet conversion in the crystal structure of the full-length human prion protein bound to a Nanobody	HOMO SAPIENS; LAMA GLAMA	lama glama		homo sapiens	Abskharon, R.N.N, Giachin, G., Wohlkonig, A., Soror, S.H., Pardon, E., Legname, G., Steyaert, J.	1.5	X-RAY DIFFRACTION	0.192	0.175	False	True	IGHV3	NA	NA	None	None	None	None	None
5c2u	B	NA	0	A	protein	NA	nup54	TRANSPORT PROTEIN	06/16/15	Ferredoxin-like domain of nucleoporin Nup54 bound to a nanobody	CAMELUS DROMEDARIUS; XENOPUS LAEVIS	camelus dromedarius		xenopus laevis	Chug, H., Trakhanov, S., Hulsmann, B.B., Pleiner, T., Gorlich, D.	1.55	X-RAY DIFFRACTION	0.205	0.176	False	True	IGHV1	NA	NA	None	None	None	None	None
4krn	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/16/13	Nanobody/VHH domain EgA1	LAMA GLAMA	lama glama			Ferguson, K.M., Schmitz, K.R.	1.553	X-RAY DIFFRACTION	0.226	0.199	False	True	IGHV1	NA	NA	None	None	None
4b41	B	NA	0	NA	NA	NA	NA		07/27/12	Crystal structure of an amyloid-beta binding single chain antibody G7	LAMA GLAMA	lama glama			Beringer, D.X., Dorresteijn, B., Rutten, L., Wienk, H., el Khattabi, M., Kroon-Batenburg, L.M.J., Verrips, C.T.	1.191	X-RAY DIFFRACTION	0.1619	0.1360	False	True	IGHV1	NA	NA	None	None	None
4b41	A	NA	0	NA	NA	NA	NA		07/27/12	Crystal structure of an amyloid-beta binding single chain antibody G7	LAMA GLAMA	lama glama			Beringer, D.X., Dorresteijn, B., Rutten, L., Wienk, H., el Khattabi, M., Kroon-Batenburg, L.M.J., Verrips, C.T.	1.191	X-RAY DIFFRACTION	0.1619	0.1360	False	True	IGHV1	NA	NA	None	None	None
7r1z	C	NA	0	A	protein	NA	activity-regulated cytoskeleton-associated protein	SIGNALING PROTEIN	02/03/22	C-terminal domain of hArc in complex with nanobodies H11 and C11, collapsed crystal form	VICUGNA PACOS; RATTUS NORVEGICUS	vicugna pacos		rattus norvegicus	Markusson, S., Kursula, P.	1.94	X-RAY DIFFRACTION	0.243	0.197	False	True	IGHV1	NA	NA	None	None	None	None	None
7r1z	E	NA	0	A	protein	NA	activity-regulated cytoskeleton-associated protein	SIGNALING PROTEIN	02/03/22	C-terminal domain of hArc in complex with nanobodies H11 and C11, collapsed crystal form	VICUGNA PACOS; RATTUS NORVEGICUS	vicugna pacos		rattus norvegicus	Markusson, S., Kursula, P.	1.94	X-RAY DIFFRACTION	0.243	0.197	False	True	IGHV1	NA	NA	None	None	None	None	None
7c8v	A	NA	0	B	protein	NA	spike glycoprotein	PROTEIN BINDING	06/03/20	Structure of sybody SR4 in complex with the SARS-CoV-2 S Receptor Binding domain (RBD)	SYNTHETIC CONSTRUCT; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	synthetic construct		severe acute respiratory syndrome coronavirus2 	Li, T., Yao, H., Cai, H., Qin, W., Li, D.	2.15	X-RAY DIFFRACTION	0.224	0.184	False	True	IGHV1	NA	NA	None	None	None	None	None
7kjh	B	NA	0	D	protein	NA	surface protein p12p	UNKNOWN FUNCTION	10/26/20	Plasmodium falciparum protein Pf12p bound to nanobody B9	VICUGNA PACOS; PLASMODIUM FALCIPARUM	vicugna pacos		plasmodium falciparum	Dietrich, M.H., Tham, W.H.	2.0	X-RAY DIFFRACTION	0.217	0.180	False	True	IGHV1	NA	NA	None	None	None	None	None
7kjh	A	NA	0	C	protein	NA	surface protein p12p	UNKNOWN FUNCTION	10/26/20	Plasmodium falciparum protein Pf12p bound to nanobody B9	VICUGNA PACOS; PLASMODIUM FALCIPARUM	vicugna pacos		plasmodium falciparum	Dietrich, M.H., Tham, W.H.	2.0	X-RAY DIFFRACTION	0.217	0.180	False	True	IGHV1	NA	NA	None	None	None	None	None
6xxo	A	NA	0	NA	NA	NA	NA	ANTITUMOR PROTEIN	01/28/20	Crystal structure of NB8, a nanobody targeting prostate specific membrane antigen	CAMELUS DROMEDARIUS	camelus dromedarius			Shahar, A., Rosenfeld, L., Papo, N.	1.5	X-RAY DIFFRACTION	0.183	0.162	False	True	IGHV1	NA	NA	None	None	None	None	None
7nfr	B	NA	0	A	protein	NA	polymerase basic protein 2	VIRAL PROTEIN	02/07/21	Fujian capmidlink domain in complex with Nb8194	INFLUENZA A VIRUS (A/DUCK/FUJIAN/13/2002(H5N1)); HOMO SAPIENS	homo sapiens		influenza a virus (a/duck/fujian/13/2002(h5n1)) 	Keown, J.R., Grimes, J.M., Fodor, E.	1.88	X-RAY DIFFRACTION	0.245	0.195	False	True	IGHV3	NA	NA	None	None	None	None	None
5h8d	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/23/15	Crystal structure of an ASC binding nanobody	LAMA GLAMA	lama glama			Lu, A., Schmidt, F.I., Ruan, J., Tang, C., Wu, H., Ploegh, H.L.	1.89	X-RAY DIFFRACTION	0.203	0.169	False	True	IGHV1	NA	NA	None	None	None	None	None
6y0e	B	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/07/20	Nbe LBM	LAMA GLAMA	lama glama			Pompidor, G., Zimmermann, S., Loew, C., Schneider, T.	1.5	X-RAY DIFFRACTION	0.180	0.161	False	True	IGHV1	NA	NA	None	None	None	None	None
6y0e	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/07/20	Nbe LBM	LAMA GLAMA	lama glama			Pompidor, G., Zimmermann, S., Loew, C., Schneider, T.	1.5	X-RAY DIFFRACTION	0.180	0.161	False	True	IGHV1	NA	NA	None	None	None	None	None
5f97	F	NA	0	B	protein	NA	adhesin binding fucosylated histo-blood group antigen,adhesin,adhesin binding fucosylated histo-blood group antigen 	CELL ADHESION	12/09/15	Blood group antigen binding adhesin BabA of Helicobacter pylori strain A730 in complex with blood group A type 1 hexasaccharide	HELICOBACTER PYLORI; LAMA GLAMA	lama glama		helicobacter pylori	Moonens, K., Gideonsson, P., Subedi, S., Romao, E., Oscarson, S., Muyldermans, S., Boren, T., Remaut, H.	2.62	X-RAY DIFFRACTION	0.237	0.188	False	True	IGHV1	NA	NA	None	None	None	None	None
5f97	E	NA	0	A	protein	NA	adhesin binding fucosylated histo-blood group antigen,adhesin,adhesin binding fucosylated histo-blood group antigen 	CELL ADHESION	12/09/15	Blood group antigen binding adhesin BabA of Helicobacter pylori strain A730 in complex with blood group A type 1 hexasaccharide	HELICOBACTER PYLORI; LAMA GLAMA	lama glama		helicobacter pylori	Moonens, K., Gideonsson, P., Subedi, S., Romao, E., Oscarson, S., Muyldermans, S., Boren, T., Remaut, H.	2.62	X-RAY DIFFRACTION	0.237	0.188	False	True	IGHV1	NA	NA	None	None	None	None	None
5f97	H	NA	0	D	protein	NA	adhesin binding fucosylated histo-blood group antigen,adhesin,adhesin binding fucosylated histo-blood group antigen 	CELL ADHESION	12/09/15	Blood group antigen binding adhesin BabA of Helicobacter pylori strain A730 in complex with blood group A type 1 hexasaccharide	HELICOBACTER PYLORI; LAMA GLAMA	lama glama		helicobacter pylori	Moonens, K., Gideonsson, P., Subedi, S., Romao, E., Oscarson, S., Muyldermans, S., Boren, T., Remaut, H.	2.62	X-RAY DIFFRACTION	0.237	0.188	False	True	IGHV1	NA	NA	None	None	None	None	None
5f97	G	NA	0	C	protein	NA	adhesin binding fucosylated histo-blood group antigen,adhesin,adhesin binding fucosylated histo-blood group antigen 	CELL ADHESION	12/09/15	Blood group antigen binding adhesin BabA of Helicobacter pylori strain A730 in complex with blood group A type 1 hexasaccharide	HELICOBACTER PYLORI; LAMA GLAMA	lama glama		helicobacter pylori	Moonens, K., Gideonsson, P., Subedi, S., Romao, E., Oscarson, S., Muyldermans, S., Boren, T., Remaut, H.	2.62	X-RAY DIFFRACTION	0.237	0.188	False	True	IGHV1	NA	NA	None	None	None	None	None
5f8q	C	NA	0	A	protein	NA	adhesin binding fucosylated histo-blood group antigen,adhesin,adhesin binding fucosylated histo-blood group antigen 	CELL ADHESION	12/09/15	Blood group antigen binding adhesin BabA of Helicobacter pylori strain S831 in complex with Nanobody Nb-ER19	HELICOBACTER PYLORI; LAMA GLAMA	lama glama		helicobacter pylori	Moonens, K., Gideonsson, P., Subedi, S., Romao, E., Oscarson, S., Muyldermans, S., Boren, T., Remaut, H.	2.59	X-RAY DIFFRACTION	0.230	0.195	False	True	IGHV1	NA	NA	None	None	None	None	None
5f8q	D	NA	0	B	protein	NA	adhesin binding fucosylated histo-blood group antigen,adhesin,adhesin binding fucosylated histo-blood group antigen 	CELL ADHESION	12/09/15	Blood group antigen binding adhesin BabA of Helicobacter pylori strain S831 in complex with Nanobody Nb-ER19	HELICOBACTER PYLORI; LAMA GLAMA	lama glama		helicobacter pylori	Moonens, K., Gideonsson, P., Subedi, S., Romao, E., Oscarson, S., Muyldermans, S., Boren, T., Remaut, H.	2.59	X-RAY DIFFRACTION	0.230	0.195	False	True	IGHV1	NA	NA	None	None	None	None	None
5my6	B	NA	0	A	protein	NA	receptor tyrosine-protein kinase erbb-2	TRANSFERASE	01/25/17	Crystal structure of a HER2-Nb complex	HOMO SAPIENS; CAMELUS DROMEDARIUS	camelus dromedarius		homo sapiens	Sterckx, Y.G.-J., D'Huyvetter, M., Devoogdt, N.	2.246	X-RAY DIFFRACTION	0.220	0.185	False	True	IGHV1	NA	NA	None	None	None	None	None
6z3x	B	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/22/20	Crystal structure of the designed antibody DesAb-anti-HSA-P1	SYNTHETIC CONSTRUCT	synthetic construct			Costanzi, E., Sormanni, P., Ricagno, S.	1.74	X-RAY DIFFRACTION	0.220	0.193	False	True	IGHV3	NA	NA	None	None	None	None	None
6z3x	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/22/20	Crystal structure of the designed antibody DesAb-anti-HSA-P1	SYNTHETIC CONSTRUCT	synthetic construct			Costanzi, E., Sormanni, P., Ricagno, S.	1.74	X-RAY DIFFRACTION	0.220	0.193	False	True	IGHV3	NA	NA	None	None	None	None	None
3r0m	B	NA	0	NA	NA	NA	NA	Immune system	03/08/11	Crystal structure of anti-HIV llama VHH antibody A12	LAMA GLAMA	lama glama			Chen, L., McLellan, J.S., Kwon, Y.D., Schmidt, S., Wu, X., Zhou, T., Yang, Y., Zhang, B., Forsman, A., Weiss, R.A., Verrips, T., Mascola, J., Kwong, P.D.	1.5	X-RAY DIFFRACTION	0.217	0.193	False	True	IGHV1	NA	NA	None	None	None	None	None
3r0m	A	NA	0	NA	NA	NA	NA	Immune system	03/08/11	Crystal structure of anti-HIV llama VHH antibody A12	LAMA GLAMA	lama glama			Chen, L., McLellan, J.S., Kwon, Y.D., Schmidt, S., Wu, X., Zhou, T., Yang, Y., Zhang, B., Forsman, A., Weiss, R.A., Verrips, T., Mascola, J., Kwong, P.D.	1.5	X-RAY DIFFRACTION	0.217	0.193	False	True	IGHV1	NA	NA	None	None	None	None	None
3qxt	B	NA	0	B	Hapten	MTX	METHOTREXATE	IMMUNE SYSTEM	03/02/11	Structure of an Anti-Methotrexate CDR1-3 Graft VHH Antibody in Complex with Methotrexate	LAMA GLAMA	lama glama		lama glama	Fanning, S.W., Horn, J.R.	1.7	X-RAY DIFFRACTION	0.195	0.175	False	True	IGHV1	NA	NA	None	None	None	None	None
3qxt	A	NA	0	A	Hapten	MTX	METHOTREXATE	IMMUNE SYSTEM	03/02/11	Structure of an Anti-Methotrexate CDR1-3 Graft VHH Antibody in Complex with Methotrexate	LAMA GLAMA	lama glama		lama glama	Fanning, S.W., Horn, J.R.	1.7	X-RAY DIFFRACTION	0.195	0.175	False	True	IGHV1	NA	NA	None	None	None	None	None
6dyx	D	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/02/18	Structure of VHH R419 isolated from a pre-immune phage display library	VICUGNA PACOS	vicugna pacos			Brooks, C.L.	1.5	X-RAY DIFFRACTION	0.190	0.176	False	True	IGHV1	NA	NA	None	None	None	None	None
6h70	C	NA	0	B	protein	NA	capsid protein vp1	VIRAL PROTEIN	07/30/18	GI.1 human norovirus protruding domain in complex with Nano-62 and 2-fucosyllactose (2FL)	NORWALK VIRUS (STRAIN GI/HUMAN/UNITED STATES/NORWALK/1968); VICUGNA PACOS	vicugna pacos		norwalk virus (strain gi/human/unitedstates/norwalk/1968) 	Kilic, T., Hansman, G.S.	1.83	X-RAY DIFFRACTION	0.191	0.162	False	True	IGHV1	NA	NA	None	None	None	None	None
